BRAIN_root::brainData,ID
"0000000010000000011110100000000000000000000000000000001000000100100010000000100100000111111000110000000000000000000000000000000100100000001000000000001100000001000000000000000000000001011000000100000000000000100101000000010000000000000010000000001000010100000000000000010110000000000000000101001001000000001101000100000000000100000101010000000000000000100000000000010000000000000101001010000000000000000010110100000000001100100000100000000000001000100000000000100000000101000010001000000000001000010000010010100000100000000000001001000000011000010000000000100010000111001101001100000000100000000001000000100000010010000000100000001000000000100000001000000000000000000000010010000000000000000000000010000000000000100000000000100011000000010000000000110010010010010010001100001000000010010010000101000000000100000000010001000000000001000010001010000000010000000100000000000000000000010010010000000100010010000000100000000010000000000000000000000000100000000001100000000000000110000000010100101000000001|79^87^95^19|983^990",900012
"0010000000000000101110100000000000010000000000000000001000000000000010000000100100000111000000110000000000100000000000001000000100000010001000000000001100000001000000000010000000000001011000000000000010000000100100000000000000000000100010000000000000000000001001000000000110000000001000000101000001000100001100001010100000000000010001010000000000000000100000000000010100010000000001000010000000000000000010010000000000000100000000100000000000001100010000000010100010000101000010001000000000000000010000000000000000001000000000000011100000011000010000000000001110000111001101001100000000100100000000000001001000000010000000001000001000000000001000000000000000000100000001010010000000000000000101010011100000000000000000000010000010000010010000000000110010000010000010000000000000010010010010000100000000000000001000000001000100000100000010000010000000000000000000001000000000000001010010000000000001000010000001000000100010000000000000000000000001100000000001000000010000000000000100010000101000000000|79^87^95^19|983^990",900013
"0010100010000000011110100000000000000000000000000000001000000000100010001000100100000111011000110000000000100000000000000000000100100000001000000000001100000001000000000000000010000001011000000100000000000000100100000000000000000000000010000000001000000000001000000000110110000000000000000101001001000000001101000100000000000010001001010000000000000000000000000100010000000000000101001010000000000000000010000100000000001100100001100000000000001100110000000010000000000001000010000000000000000000010000010000000000100000000000000001000000011000011000000000100010000111001101001100000000100000000000000100000000010010000100100000001000000000100000000000000000000000000000010010000000000000000000000010001000000000000000000000100011000000010000000000110010110010010000001100000000010010010010000001000000000000000000010001000000000101000010001010000000010000000100000000000000000000010010010000010100011010000000010000000010000000000000000000100000100000000001100000000000000110000000010000101000000001|79^87^95^19|983^990",900014
"0010100010000000011110100000000000000000000000000000001000000000100000000000100100000111011000110000000000100000000000000000000100100000001000000000001100000001000000000000000000001001011000000100000000000000100100000000000000000000000010000010001000000000001000000000100010000000000000000101001001000000001101000100000000000010001001010000010000000000000000000100010000000000000111001010000000000000000010010100000000001100100001100000000000001100110000000010100000000101000010001000000000000000010000010000000000100000000000000001000000011000011000000000100010000111001101001100000000100000000000000000000000010010000000100000001000000000100000000000000000000000000000010010000000000000000000000010001000000000000000000000100011000000010000000000110010010010010010001100000000010010010010000001000000000000000000010001000000000101000010001010000000010000000100000000000000000000010010010000010100010010000000010000000010000000100000000000000000100000000001100000000000000110000000010000101000000001|79^87^95^19|983^990",900015
"0000000010000000101110100001000000010000000000000010001010000000000010000000100100000111010000110000000000000000000000000000000100000010001000000000001000000001000000000010010000000001011000000000000010000001100100000000000000000000100010000000000000000000001000000000000110000000001000000101000001000100001000001010100000000000010001010000000000000000100000000000110100000000000001000010000000000000000000010000000000000100000001100000000000001100010000000010100010000101000010001000000000000000010000000000000000001000000000000011100000011000010000000000101110000111001101001100000000100100000000000001000000000010000000001000001000000000001000000000000000000100000001010010000000000000000100000010100000000100000000000010000011000010010000000000110010000010000010000000000000010010010010000100000000000000001000000001000100000100000010000010000000000000000010001001000000000000010010000000000000000110000001000000100010000000000000000000000001100000000001000000010000000100000000010000101000000000|79^87^95^19|983^990",900016
"0000000010000000011110100000000000000000000000000000001000000100101010000000100100000111011000110000000010000000000000000000000100100010001000000000001100000001000000000000000000000001011000000100000000000000100101000000010000000000000010001000001000000100000000000000010110000000000000000101001001000000001101000100000000000100000001010000000000000000100000000000010000000000000001001010000000000000000010110100000000001100100000100000000000001100100000000000100000000101000010001000000000101000010000010000000000000000000000000001000000011000011000000000100010000111001101001100000000100000000000000000100000010010000000100000001000000000100000000000010000000000000000010010000000000000000000000010000000000000000000000000100011000000010000000000110010010010010010001100001000000000010010100101000010000100000000010001000000000101000010001010000000010000000100000100000000000000010010010000000100010010000000100000000010000000000000000000000000100000000001100000000000000110000000010000101010000001|79^87^95^19|983^990",900017
"0000000010000000101110100001000000010000000000000000001010000000000010000000100100000111010000110000000000000000000000000000000100000010001000000000001100000001000000000010010000000001011000000000000010000001100100100000000000000000100010000000000000000000001000000000000110000000001000000101000001000100001000001010100000000000010001000000000000000000100000000000110100000000000001000010000000000000000000000000000000000100000001100000000000001100010000000010100010000101000010001000000000000000010000000000000000001000000000000011100000011000010000000000101110000111001101001100000000100100000000000001000000000010000010001000001000000000001000000000000000000100000001010010000000000000000100000010100000000100000000000010000011000010010000000000110010000010000010000000000000010010010010000100000000000000001000000001000100000100000010000010000000000000000010001001000000000000010010000000000000000110000001000000100010000000000000000000000001100000000001000000010000000100000000010000101000000000|79^87^95^19|983^990",900018
"0010100010000000011110100000000000001000000000000000001000000000100010000000100100000111011000110100000000100000000000000000000100100010001000000000001100000000000000000000000000000001011000000100000000000000100100000000000000000000000010000000000000000000001000000000110110000000000000000101001001000000001101000100000000000010001001010000000000000000100000000000010000000000000101001010000000000000000010010100000000001010100001100000000000001100100000000000100000000101000010001000000000100000010000010000000000100000000000000001000000011000011000000000100010000111001101001100000000100000000000000000000000010011000000100000001000000000100000000000000000000000000000010010000100000000000000000010001000000000000000000000100011000000000000001000110011010010010010001100000000110010010010000101000000000000001000010001000000000101000010001010000000010000000100000000000000000000010010010001010100010010000010000000000010000000000000000000000000100000000001100000000000000010000000010000101000000001|79^87^95^19|983^990",900019
"0000000010000000011110100000000000000000000000000000001000000100101010000000100100000111011000110000000000000000000000000000000100100000001000000000001100000001000000000000000000000001011000000100000000000000100101000000010000000000000010001000001000000100000000000000010110000000000000000101001001000000001101000100000000000100000001010000000000000000100000000000010000000000000101001010000000000000000010110100000000001100100000100000000000001100100000000000100000000101000010001000000000101000010000010000000000000000000000000001000000011000011000000000100010000111001101001100000000100000000001000000100000010010000000100000001000000000100000000000010000000000000000010010000000000000000000000010100001000000000000000000100011000000010000000000100010010010010010001100001000000010010010100101000010000100000000010001000000000101000010001010000000010000001100000000000000000000010010010000000100010010000000100000000010000000000000000000000000100000000001100000000000000110000000010000101000000001|79^87^95^19|983^990",900020
"0010100010000000011010100000000000000000000000000000101000000000100010000000100100000111011000110000000000100000000000000000000100100010001000000000001100001001000000000000000000000001011000000100000000000000100100000000000000000000000010000000000000000000001000000000110110000000000000000101001001000000001101000100000000000010001001010000000000000000100000000000010000000000000101001010000000000000000000010000000000000100100001100000000000001100110000000010101000000101000010001000000000100000010000010000000000000000000000000001000000011000011000000000100010000111001101001100000000100000000000000000000000010010000000100000001000000000100000000000000000000000000000010010000000000000000000000000001000000000000000000000100011010000010000000100110011010010000010001100000000000010010010000101000000000000001000010001000000000101000010001010000000010000000100000000000000000000010010010000010100010010000010000000000010000000000000000000000000100000000001100000000000000110000000010000101000000001|79^87^95^52|983^990",900021
"0000000010000000011110000000000000000000000000000010001000000000100010000000100100000111010000110000000000100000000000000001000101100000000000000000001100100001000000000000000000000001011000000100000000000000000101000000000000000000000010000000001000000000001000000000100110000000000000000101001001000000001101000000000000000000001001010000000000000000100000000000000000000000000101101010000000000000000010010100000000001100100001100000001000001100110000000000100100000001000010001000000000100000010000010000000000100000100010000001000000011001011000000000100010000011001101001100000000100000000000000000000000010010000000100000101000000000100000000000000000000000000000010010000000000000000001000010001000010000000000000000100011000000010000000000110110010010010010001100000000010010010010000101000000100100001000010001000000010001000010001010000000010000000100000000000000000000010010010000010100010110010000000010000010000000000000000000000000100000000000100000000000000010000000010000001000000000|79^87^95^19|983^990",900022
"0000010000000100100100001000100100000000000000000110000000000000000100010000100100000111100000110000101000000011000001000000000100000100000101000000011100100000000000000000110000000001011000000000000000000000001100000000000000000001000010000010000000101000000000000000101011000000000000000100000001000001000000010010000000010000100000010000100001000000110000001000010100001000010001100010000000000001000000000000010000010110000000000101000000000100000000000010000000000001000010001000000001000000010000001000000000000100100000001000000000011011010000000100101010000111001100001100000001010010000000010000100010001100010000000000010000000000000000000010000000000000000000010010000000000000000000000001001000001100100000000000100000000001010000000000000000000111000000010000000000000010010000000000000010000000001111001101000000000000010010001010000001000111010000001000010000000000000010000001010000000100010100000000000010000100000000001000010000000100001000100000010000010000110000010000001000000000|71^87^95^19|983^990",900023
"0000000010000000011110100000000000000000000000000000001000000000100010000000100100000111010000110000000000100000001000000000000101100000000000000000001100100001000000000000000000000001011000000100000000000000000101000000000000000000000010000000001000000000001000000000000110000000000000000101001001000000011101000000000000000000001001010000000000000000100000000000000000000000000101101010000000000000000010010100000000001100100001100000001000001100110000000010100000000001000010001000000000100000010000011000000000100000100010000001000000001001011000000000100010000111001101001100000000100000000000000000000000010000000000100000101000000000100000000000000010000000000000010010000000000000000001000010001000010000000000000000100011000000010000000000110110010010010010001100000000010010010010000101000000000000000000010001000000010001000010001010000000010000000100000000000000000000010010010000010100010110010000010010000010000000000000000000000000000000000001100000000000000010000000010000011000000010|79^87^95^19|983^990",900024
"0010100010000000011110100000000000000000000000000000001000000000100010000000100101000111011000110000000000100000000000000000000100100010001000000000001100000001000000000000000000000001011000000100000000000000100100000000000000000000000010000000000000000000001000000000110110000000000000000101001001000000001101000100000000000010001001010000000000000000100000000000010000000000000101001010000000000000000010010000000000001100100001100000000000001100110000000010100000000101000010001000000000100000010000010000000000100000000000000001000000011000011000000000100010000111001101001100000000100000000000000000000000010010000000100000001000000000100000000000000000000000000000010010000000000000000000000010001000100000000000000000100011010000010000000000110010010010010010001100000000010010010010000101000000100000001000010001000000000101000110001010000000010000000110000000000000000000010010010000010100010010000010000100000000000000000000000000000000100000000001100000000000000110000000010000101000000001|79^87^95^19|983^990",900025
"0000000010000000011100100000000000000000000000000000001000000000100010100000000100000111011000110010000000100011000010000000000100000000001000001000001100000000000000000000000000000001011000000100000000000000100100000000000000000000000010001000000000000000101000000000110110000000000000000000001001000000001101000100000000000000000001110000000000000000100000000000010000000000000101000010000000000001000000010000000000000100100001000000000000001100110000000000100100000101000010001000000000000000010000011000000000100000000000000001000000011000011000000000100010000111011101001100000000100000000000000000000000010000000000101000000000000000100010000000000000000000000000010010000000000000000000000010001001000010000000000000100011000000010000000000110010000010010000001100000000010010010010000101100100000000001010010001000000000101000010001010000000010000000000000000000000000110010010000000000100000010000000011000000010000000100000000000000000100000000001000000000000000100011000010000101000000010|79^87^95^19|983^990",900026
"0010000000000000111110100000000000001000000000000000001000000000000010000000000100000101000000110000100000100000000100000000000100000010001000000000001100110000000000000110000000100001011000000000000000000001000100000000000000000000100010000000000000000000001010000000100110000000000000000101000001000000011100001000000000000000000001010000000000000000000000000000010000010001000001001010000000000000000010010100000000000101000101100000010010001100000000000010100000000101000010001000000000000000000100000000000000101000000000000000000000001000110000000000101110000111001101001100000000100000000000000000000000000000000000001000000100000100000000000000000000000000000001010010000000000000000000000010101100000000000000000010100011000000010000000000110010000001000010001000000000000010010010000100100100000000010000000001000000000001000010000010000000000000000000001001000000000000010010000001010000000010000000000000000010010010000000000100000000100000000000100000000000010110010000010000000000000001|79^87^95^19|983^971",900027
"0000000010000000011110100000000000000000000000000000001000000100101010000000100100000111111000110000000000000000000000000000000100100000001000000000001100000001000000000000000000000001011000000100000000000000100101000000010000000000000010001000011000000100000000000000010110000000000000000101001001000000001101000100000000000100000001000000000000000000100000000000010000000000000101001010000000000000000010110100000000001100100000100000000000001100100000000000100000000101000010001000000000101000010000010000000000000000000000000001000000011000011000000000100010000111001101001100000000100000000001000000100000010010000000100000001000000000100000000000010000000000000000010010000000000000000000000010000000000000000000000000100011000000010000000000110010010010010010001100001000000010010010110101000010000100000000010001010000100101000010001010000000010000000100000000000000000000010010010000000100010010000000100000000010000000000000000000000000100000000001100000000000000110000000010000101000000001|79^87^95^19|983^990",900028
"0000000010000000101110100000000000010000000000000000001000000000000010000000100100000011000000110000000000100000000000001000000100000010001001000000001100000001000000000010000000000001011000000000000010000000100100000000000000000000100010000000000000000000001001000000000110000000001000000101000001000100001100001010100000000000010001010000000000000000100000000000010100010000000001000010000000000000000010010000000000000100000000100000000000001100010000000010100010000101000010001000000000000000010000000000000000001000000000000011100000011000010000000000101110000111001101001100000000100100000000000001001000000010000000000000001000000000001000000000000000000100010001010010000000000000000101010011100000000000000000000010000010000010010000000000110010000010000010000000000000010010010010000100000000000000001000000001010100000100000010000010000000000000000000001000000000000001010010000000000001000010000001000000100010000000000000000000000001100000000001000000010000000000000100010000101000000000|79^87^95^19|983^990",900029
"0000000010000000011110100000000000000000000000000000001000000100100010000000100100000111011000110000000000000000000000000000000100100000001000000000001100000001000000000000000000000001011000000100000000000000100101000000010000000000000010000000001000010100000000000000010110000000000000000101001001000000001101000100000000000100000101010000000000000000100000000000010000000000000101001010000000000000000010110100000000001100100000100000000000001100100000000000100000000101000010001000000000001000010100010010100000100000000000001001000000011000010000000000100010000111001101001100000000100000000001000000100000010010000000100000001000000000100000001000000000000000000000010010000000000000000000000010000000000000100000000000100011000000010000000000110010010010010010001100001000000010010010000101000000000100000000010001000000000001000010001010000000010000000100000000000000000000010010010000000100010010000000100000000010000000000000000000000000100000000001100000000000000110000000010100101000000001|79^87^95^19|983^990",900030
"0010000010000001101111000000000100000000000000000000001001000000100010000000101011100111010000110001000000100000000000000000000100000010000000000000001100000000000000000010000000000001011000000000000100000000100100000000000000010000100010000000000000000000011000000001100110000000000000000001001001000000001101001000100001000000000001011000000000000000100000000000100000010000000001001010000000000000001010010000000000000100000001100000000000011100000000000010100010000111000010001000000000000000010000100000101100111000000000000001000100010000011000000000101110000111001101001100000000100000000000010001000010000010000000101000001000000001001000000000000000000000000001000010000000000000010000000010101000000000000000000000100011000000010000000000110010000011000010001000000000010010010010100100000000000000000000000000000100000101000010000010000000000010000010001001000000000000010010100000000000001010000011000000100010000000000010000000000000100001100001100000010000000100000000010000101000000001|82^87^95^19|983^990",900031
"0000000010000000011110100000000000000000000000000000001000010100101010000000100100000111011000110000000000000000000000000000000100100000001000000000001100000001000000000000000000000001011000000100000000000000100101000000010000000000000010001100001000000100000000000000010110000000000000000101000001000000001100000100000000000100000001010000000000000000100000000000010000000000000101001010000000000000000010110100000000001100000000100000000000001100100000000000100000000101000010001000000000101000010000010000000000000000000000000001000000011000011000000000100010000111001101001100000000100000000001000000100000010010000000100000001000000000100000000000010000000000000000010010000000000000000000000010000000000000000000000000100011000000010000000000110010010010010010001100001000000010010010100101000010000100000000010001000000000101000010001010000000010000000100000000000000000000010110010000000100010010000000100000000010000000000000000000000000100000000001100000000000000110000000010000101000000001|79^87^95^19|983^990",900032
"0010000010000000011110100000000000001000000000000000001000000000000010000000100100000111000000110000100000100000000100000000000100000010001010000000001100110000000000000110000000100001011000000000000000000001000100000000000000000000100010000000000000000000001010000000100110000000000000000101000001000000011100001000000000000000000001010000000000000000000000000000010000010000000001001010000000000000000010010000000000000101000101100000010010001100000000000010100000000101000010001000000000000000000100000000000000101000000000000000000000001000110000000000101110000111001101001100000000100000000000000000000000000000000000001000000100000100000000000000000000000000000001010010000000000010000000000010101100000000000000000010100011000000010000000000110010000001000010001000000000000010010010000100100100000000010000000001000000000001000010000010000000000000000000001001000000000000010010000001010000000010000001000000100010010010000000000100000000100000000000100000000000010110010000010000000000000001|79^87^95^19|983^971",900033
